number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
136,AER4,R2,Rep6,sand,Tumbe,G12,7,27,0.54,0.59,55.4319,-11.03,-5.53,5.4277,19.68,24.68,8.31,2.215,1558.7586,82.31,0.43,49.4,0.13
137,AER4,R2,Rep6,sand,Murambatsvina,G9,5,27.5,0.47,0.54,37.8962,-13.63,-6.79,5.441,25.49,33.12,14.04,4.8453,2766.0097,79.86,0.54,61.56,0.15
138,AER4,R2,Rep6,sand,Munzungu_munemari,G8,6,31.8,0.57,0.63,44.2836,-13.16,-7.38,5.622,22.44,29.17,8.64,4.3842,2219.1263,84.55,0.5,57.28,0.13
139,AER4,R2,Rep6,sand,Chizambia,G3,5,36.5,0.84,0.87,9.0609,-18.97,-15.39,5.8828,23.16,32.28,3.71,9.0921,3262.7885,105.33,0.58,65.94,0.1
140,AER4,R2,Rep6,sand,Chigunwe,G2,3,37,0.86,0.9,6.1359,-22.11,-17.75,6.1875,28.19,38.03,4.42,11.1196,4205.2537,100.31,0.54,64.39,0.15
141,AER4,R2,Rep6,sand,Bobwhite,G1,4,40.5,0.51,0.56,38.5884,-14.14,-8.3,7.4779,23.56,31.02,8.82,5.9047,2674.8971,85.78,0.53,60.44,0.13
142,AER4,R2,Rep6,sand,Guinea_fowl,G4,4,41.6,0.53,0.65,33.7477,-15.59,-6.98,8.5397,32.81,39.1,18.4,3.8531,3634.3047,75.44,0.45,54.82,0.27
143,AER4,R2,Rep6,sand,Muromo_wehoto,G10,7,47.5,0.53,0.6,40.5415,-13.54,-6.94,15.9006,24.79,32.19,11.8,4.6195,2576.9236,80.82,0.53,60.41,0.15
144,AER4,R2,Rep6,sand,Kabhutsu,G5,6,60,0.1,0.12,81.9987,-2.53,9.41,17.2653,25.55,30.33,15.73,-5.4594,1263.438,42.44,0.52,57.79,0.19
145,AER4,R3,Rep1,red,Kasawaya,G6,9,17.56,0.36,0.01,50.36,-10.66,-3.91,0,42.22,38.28,59.61,-14.81,2734.95,74.54,0.53,59.96,0.13
146,AER4,R3,Rep1,red,Natal_common,G11,8,22,0.35,0.42,36,-7.47,0.19,0,21.06,26.87,15.42,2.12,2343.53,61.02,0.53,59.13,0.13
147,AER4,R3,Rep1,red,Makulu_red,G7,7,22.4,0.35,0.38,65.31,-8.03,12.1,1.3,20.9,48.31,40,2.36,2308.46,64.16,0.53,59.64,0.12
