Environment,Ward,Replication,Genotype,Genotype,SHW,SP,PY,Biomass,HI,GY, Severity,Class, GGA, Necrosis, a, u, Chlorosis, b, v, CSI
E3,10,6,Murambatsvina,G9,31,11.42857143,35,35,0.060606061,4,44.76666667,,0.073333333,66.7999,-2.356666667,10.98666667,3.921533333,29.22333333,33.42666667,62.06333333
E3,10,6,Muromo_wehoto,G10,55,26.66666667,75,75,0.153846154,20,65.53333333,,0.086666667,66.5687,0.316666667,12.02333333,21.33643333,22.92,25.83666667,44.69
E3,10,6,Natal_common,G11,52,50.47619048,105,31,0.638554217,53,40.16666667,,0.083333333,64.26683333,0.636666667,14.78666667,2.427366667,27.44666667,30.95666667,57.78333333
E3,10,6,Tumbe,G12,40,42.85714286,70,70,0.272727273,30,43.63333333,,0.113333333,63.35173333,-0.48,12.94333333,3.441966667,27.84333333,30.79666667,55.5
E4,8,1,Bobwhite,G1,212,41.27423823,361,200,0.361650485,149,34.79333333,,0.276666667,86.15,-6.79,7.453333333,10.42666667,28.93,46.89,50.72666667
E4,8,1,Chigunwe,G2,135,55,300,780,0.180327869,165,31.98666667,,0.61,45.11,-14.03666667,-9.833333333,8.76,35.65,41.16666667,40.82333333
E4,8,1,Chizambia,G3,168,51.02040816,343,800,0.180785124,175,31.53,,0.436666667,55.12666667,-7.483333333,-3.13,6.036666667,19.67,25.27,18.49333333
E4,8,1,Guineafowl,G4,68,62.84153005,183,766.6666667,0.137779553,115,37.33333333,,0.393333333,62.92,-22.74,-13.95666667,12.54666667,27.25,29.33,59.7
E4,8,1,Kabhutsu,G5,60,50,120,416.6666667,0.125874126,60,54.08666667,,0.163333333,71.05,-35.37333333,8.613333333,65,16.79666667,19.66,6.743333333
E4,8,1,Kasawaya,G6,216,68.96551724,696,550,0.626631854,480,16.18,,0.453333333,43.62,-8.91,-3.52,0.726666667,35.95666667,31.83666667,46.02666667
E4,8,1,Makulu_red,G7,186,66.30434783,552,433.3333333,0.590958019,366,20.65333333,,0.53,54.65333333,-9.676666667,0.403333333,2.083333333,24.72,41.70333333,31.66666667
E4,8,1,Munzungu_munemari,G8,122,60.8974359,312,633.3333333,0.251544572,190,26.76,,0.483333333,36.46,-11.24666667,-4.703333333,5.133333333,22.31333333,28.57,10.74333333
E4,8,1,Murambatsvina,G9,210,58,500,520,0.397260274,290,22.64333333,,0.456666667,23.24,-11.04,-4.326666667,4.47,22.61666667,28.92666667,12.34666667
E4,8,1,Muromo_wehoto,G10,155,39.21568627,255,650,0.124223602,100,41.47333333,,0.41,36.43,-10.30666667,-1.053333333,50.63,28.26333333,34.35666667,23.17
