number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,GA,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
22,AER2,R1,Rep2,red,Guinea_fowl,G4,7,46.5,1.46,15.11,36.81,8.53,25.08,28.61,-18.01,-687.93,58.3,15.56,-153.44,19.88,0.51,55.33,0.25
23,AER2,R1,Rep2,red,Muromo_wehoto,G10,7,49.1,0.15,13.11,34.36,9.71,27.14,24.08,-17.01,-153.44,79.55,19.88,702.73,25.92,0.51,57.57,0.38
24,AER2,R1,Rep2,red,Kabhutsu,G5,7,56,0.23,15.97,44.08,22,38.54,91.77,-20.26,704.47,83.69,25.53,1005.03,27.34,0.49,56.56,0.39
25,AER2,R1,Rep3,red,Kasawaya,G6,5,29.89,0.31,-5.61,1.63,1.15,18.31,5.23,-0.19,1617.26,54.5,53.74,1678.67,47.09,0.49,53.57,0.11
26,AER2,R1,Rep3,red,Natal_common,G11,6,36.28,0.31,-6.9,-1.14,1.27,16.36,89.51,1.47,1834.95,36.74,66.26,0,21.14,0.53,56.39,0.07
27,AER2,R1,Rep3,red,Makulu_red,G7,6,40.11,0.4,12.6,36.68,1.4,14.78,49.13,-3.3,0,60.25,30.19,979.4,41.45,0.56,60.14,0.08
28,AER2,R1,Rep3,red,Tumbe,G12,7,46.97,0.28,-4.55,1.93,1.83,15.8,68.1,-0.53,1369.2,51.3,49.45,502.52,29.19,0.54,57.81,0.05
29,AER2,R1,Rep3,red,Murambatsvina,G9,7,47.56,0.34,-7.34,-1.64,2.13,16.75,11.91,2.28,2176.3,37.53,69.06,1508.49,55.12,0.52,56.83,0.07
30,AER2,R1,Rep3,red,Munzungu_munemari,G8,7,50.11,0.41,-9.14,-2.46,2.23,20.61,5.26,3.03,2626.63,42.28,70.7,1617.26,53.74,0.53,58.09,0.11
31,AER2,R1,Rep3,red,Chizambia,G3,8,67.44,0.27,-3.41,3.82,2.33,16.09,8.71,-1.77,979.4,52.43,41.45,0,30.19,0.52,56.31,0.08
32,AER2,R1,Rep3,red,Chigunwe,G2,8,77.17,0.16,-3.2,8.16,2.76,13.36,27.69,-18.6,0,25,21.14,2626.63,70.7,0.5,56.27,0.13
